patient_id,mrn,first_name,last_name,date_of_birth,gender,ssn,phone,email,address,city,state,zip_code,emergency_contact_name,emergency_contact_phone,primary_insurance_id,secondary_insurance_id,blood_type,is_active,registration_date
PAT000013,MRN1000013,Jennifer,Martin,1985-03-10,Female,455-22-2650,555-925-5529,patient13@gmail.com,9752 Valley Blvd,San Diego,FL,23118,Elizabeth Rodriguez,555-955-2385,INS000934,INS000939,AB+,True,2021-02-24 23:53:57.965615
PAT000014,MRN1000014,Richard,Martin,1985-01-19,Male,144-33-2492,555-208-7885,patient14@email.com,1070 Park Ave,Houston,CA,48785,Patricia Johnson,555-859-8798,INS000353,INS000381,AB+,True,2022-01-24 23:53:57.965615
PAT000015,MRN1000015,Nancy,Rodriguez,2001-11-23,Female,264-57-6095,555-262-5009,patient15@hotmail.com,9455 Maple Dr,Austin,IL,96583,Joseph Gonzalez,555-962-6795,INS000685,INS000472,A+,True,2022-03-12 23:53:57.965615
PAT000016,MRN1000016,Mary,Jackson,1944-10-29,Male,300-94-5570,555-762-4600,patient16@gmail.com,1473 Valley Blvd,Philadelphia,AZ,75972,Charles Garcia,555-965-8129,INS000776,,O-,True,2023-02-27 23:53:57.965615
PAT000017,MRN1000017,Thomas,White,1946-10-14,Male,184-33-5049,555-272-8034,patient17@outlook.com,7169 Maple Dr,Chicago,PA,70132,Lisa Wilson,555-233-8776,INS000787,,O+,True,2021-02-05 23:53:57.965615
PAT000018,MRN1000018,Elizabeth,Taylor,1971-01-28,Female,983-13-2940,555-131-6907,patient18@gmail.com,430 Maple Dr,Houston,NY,79018,Robert Gonzalez,555-451-3761,INS000657,,O-,True,2021-07-31 23:53:57.965615
PAT000019,MRN1000019,Nancy,Brown,2001-03-10,Male,825-61-1834,555-839-9988,patient19@yahoo.com,9892 Elm St,Chicago,PA,37876,Christopher Hernandez,555-612-1127,INS000703,INS000346,O-,True,2025-04-25 23:53:57.965615
PAT000020,MRN1000020,Richard,Lee,2004-12-02,Female,418-88-9648,555-485-5586,patient20@yahoo.com,1308 Park Ave,Dallas,IL,19071,Elizabeth Lee,555-112-2839,INS000188,,B+,True,2021-02-18 23:53:57.965615
PAT000021,MRN1000021,Linda,Garcia,1998-08-26,Other,534-10-4927,555-269-8524,patient21@email.com,8194 Main St,Philadelphia,CA,12854,Linda Martinez,555-524-2095,INS000420,INS000939,B+,True,2024-08-12 23:53:57.965615
PAT000022,MRN1000022,Charles,Taylor,1952-02-15,Female,608-28-2646,555-530-8873,patient22@email.com,5191 Elm St,Philadelphia,IL,35943,Joseph Lopez,555-763-8320,INS000033,,A-,True,2021-01-24 23:53:57.965615
PAT000023,MRN1000023,Lisa,White,1945-07-25,Female,830-92-9277,555-399-9459,patient23@yahoo.com,632 Elm St,Philadelphia,TX,23705,Charles Brown,555-309-5438,INS000191,INS000668,A+,True,2022-01-14 23:53:57.965615
PAT000024,MRN1000024,Jessica,Miller,1966-08-16,Male,494-16-1957,555-314-2616,patient24@gmail.com,9769 Hill Rd,Dallas,AZ,44429,Daniel Gonzalez,555-413-8552,INS000779,,A+,True,2020-09-15 23:53:57.965615
PAT000025,MRN1000025,Nancy,Brown,1979-01-19,Male,307-30-2023,555-969-8265,patient25@hotmail.com,2440 Pine Rd,New York,FL,56358,James Harris,555-693-5662,INS000479,,O-,True,2023-07-08 23:53:57.965615
PAT000026,MRN1000026,Barbara,Harris,1951-02-15,Male,815-35-2720,555-297-1040,patient26@outlook.com,6961 Lake Dr,Austin,TX,61082,William Davis,555-813-6225,INS000030,INS000271,B+,True,2022-04-04 23:53:57.965615
PAT000027,MRN1000027,Richard,Moore,1989-09-09,Female,708-67-1810,555-493-7600,patient27@email.com,3828 Oak Ave,Philadelphia,NY,45620,David Jackson,555-699-4016,INS000744,,A+,True,2022-06-13 23:53:57.965615
PAT000028,MRN1000028,John,Smith,1978-01-09,Other,182-21-5522,555-286-4500,patient28@yahoo.com,2938 Maple Dr,San Diego,PA,51248,Christopher Taylor,555-339-6128,INS000414,,AB+,True,2022-07-26 23:53:57.965615
PAT000029,MRN1000029,David,Johnson,1960-01-09,Male,133-11-4438,555-772-2416,patient29@yahoo.com,4694 Maple Dr,Austin,NY,72102,Michael Martin,555-790-2925,INS000882,,A+,True,2019-10-16 23:53:57.965615
PAT000030,MRN1000030,Lisa,Davis,1951-02-08,Female,404-70-2913,555-480-2511,patient30@yahoo.com,8800 Hill Rd,Phoenix,PA,26402,Thomas Hernandez,555-935-7705,INS000541,,AB+,True,2024-11-04 23:53:57.965615
PAT000031,MRN1000031,William,Wilson,1981-03-06,Male,346-23-9132,555-931-9677,patient31@outlook.com,8793 Main St,San Diego,NY,29984,Christopher Lee,555-828-4487,INS000482,,O-,True,2022-10-23 23:53:57.965615
PAT000032,MRN1000032,Jessica,Wilson,1971-04-24,Female,865-22-8645,555-917-2479,patient32@yahoo.com,5155 Hill Rd,Philadelphia,AZ,69994,Daniel Jackson,555-664-4734,INS000343,,A-,True,2020-10-16 23:53:57.965615
PAT000033,MRN1000033,Mary,Wilson,1984-03-24,Male,880-93-7798,555-579-9861,patient33@gmail.com,5738 Oak Ave,Dallas,IL,53007,Lisa Johnson,555-943-3659,INS000444,INS000364,A-,True,2024-12-13 23:53:57.965615
PAT000034,MRN1000034,Barbara,Smith,2004-03-18,Other,146-23-7356,555-612-3450,patient34@email.com,4880 Pine Rd,Los Angeles,NY,96690,Joseph Martin,555-532-5562,INS000775,,B+,True,2024-01-10 23:53:57.965615
PAT000035,MRN1000035,David,Harris,1974-07-26,Female,259-55-1834,555-401-3403,patient35@hotmail.com,1036 Pine Rd,San Antonio,AZ,71917,Daniel Jackson,555-849-9427,INS000482,,AB+,True,2021-09-03 23:53:57.965615
PAT000036,MRN1000036,William,White,1996-11-22,Male,839-74-5233,555-490-6927,patient36@hotmail.com,6150 Valley Blvd,San Antonio,NY,88596,Susan Lopez,555-720-8969,INS000062,,O+,True,2021-06-26 23:53:57.965615
PAT000037,MRN1000037,Charles,Harris,2004-09-11,Male,200-84-5667,555-941-6568,patient37@gmail.com,4069 Park Ave,New York,TX,45231,Thomas Hernandez,555-835-2492,INS000493,,A-,True,2021-03-29 23:53:57.965615
PAT000038,MRN1000038,John,Garcia,1991-02-09,Male,965-91-8645,555-676-6118,patient38@outlook.com,4978 Elm St,Chicago,PA,17163,Joseph Taylor,555-803-1756,INS000088,,O-,False,2024-11-08 23:53:57.965615
PAT000039,MRN1000039,Jennifer,White,1948-01-06,Male,941-77-6384,555-524-9990,patient39@outlook.com,856 Pine Rd,Dallas,IL,69636,Linda Thompson,555-154-2482,INS000652,,AB-,True,2022-03-27 23:53:57.965615
PAT000040,MRN1000040,Christopher,Smith,1957-10-18,Male,988-56-1154,555-707-1383,patient40@outlook.com,9159 Pine Rd,Phoenix,TX,45091,Jessica Hernandez,555-555-1209,INS000867,,O-,True,2023-04-10 23:53:57.965615
PAT000041,MRN1000041,Nancy,Johnson,1958-12-30,Female,743-25-2262,555-530-3502,patient41@outlook.com,3991 Oak Ave,Los Angeles,CA,13581,Susan Thompson,555-576-2694,INS000937,,A+,True,2019-07-15 23:53:57.965615
PAT000042,MRN1000042,John,Smith,2007-12-12,Female,310-66-6582,555-341-3187,patient42@gmail.com,4135 Cedar Ln,Houston,TX,39161,Sarah Williams,555-228-5650,INS000717,,AB+,False,2023-08-10 23:53:57.965615
PAT000043,MRN1000043,Barbara,Lopez,1995-11-30,Female,328-53-9685,555-571-3366,patient43@outlook.com,2271 Lake Dr,San Antonio,TX,38153,Richard Thomas,555-751-6535,INS000555,INS000887,A-,True,2019-07-28 23:53:57.965615
PAT000044,MRN1000044,John,Miller,1964-01-23,Male,269-25-1370,555-325-8762,patient44@yahoo.com,6027 Elm St,Chicago,CA,68947,Thomas Martinez,555-559-7636,INS000697,,A+,True,2024-08-11 23:53:57.965615
PAT000045,MRN1000045,Susan,Harris,1988-11-09,Female,583-31-9658,555-221-8377,patient45@outlook.com,7334 Park Ave,Houston,IL,44802,Michael Martinez,555-176-4922,INS000965,,AB+,True,2019-03-26 23:53:57.965615
PAT000046,MRN1000046,Lisa,Garcia,2007-04-25,Female,792-66-9562,555-739-9234,patient46@yahoo.com,7744 Pine Rd,Houston,CA,43852,Nancy Johnson,555-141-5433,INS000123,,O+,True,2023-01-21 23:53:57.965615
PAT000047,MRN1000047,William,Moore,1984-05-14,Male,862-10-8727,555-693-1441,patient47@yahoo.com,1147 Oak Ave,Phoenix,TX,91033,Jessica White,555-994-5943,INS000965,,O+,True,2024-01-12 23:53:57.965615
PAT000048,MRN1000048,John,Hernandez,1995-04-03,Female,240-69-1921,555-255-3805,patient48@email.com,5526 Cedar Ln,San Diego,TX,92232,Michael Johnson,555-672-5617,INS000164,,O-,True,2020-11-07 23:53:57.965615
PAT000049,MRN1000049,John,Miller,1964-05-26,Female,832-39-8666,555-333-8725,patient49@outlook.com,9774 Main St,New York,PA,86103,Joseph Lee,555-192-5725,INS000615,INS000356,A-,True,2025-06-21 23:53:57.965615
PAT000050,MRN1000050,Charles,Moore,1970-05-28,Male,214-63-2733,555-795-1927,patient50@yahoo.com,4773 Cedar Ln,Phoenix,FL,90404,Nancy Brown,555-277-5017,INS000187,,O+,True,2024-06-26 23:53:57.965615
PAT000051,MRN1000051,Nancy,Gonzalez,1989-05-07,Male,536-13-9388,555-136-8019,patient51@gmail.com,3279 Oak Ave,New York,PA,78847,Nancy Anderson,555-420-6744,INS000245,,AB+,True,2025-04-08 23:53:57.965615
PAT000052,MRN1000052,David,Miller,1970-03-06,Female,213-88-8700,555-423-5468,patient52@gmail.com,8641 Maple Dr,San Diego,FL,68953,Joseph Gonzalez,555-892-3453,INS000905,INS000419,AB+,True,2022-03-01 23:53:57.965615
PAT000053,MRN1000053,David,Brown,1996-01-03,Male,954-29-3126,555-993-9882,patient53@gmail.com,5001 Maple Dr,Los Angeles,CA,10486,Patricia Thompson,555-906-9877,INS000737,,B+,True,2025-05-19 23:53:57.965615
PAT000054,MRN1000054,Susan,Smith,1962-05-20,Female,307-96-7294,555-742-8340,patient54@yahoo.com,7241 Valley Blvd,Phoenix,CA,89202,Christopher Miller,555-306-4494,INS000409,,O+,True,2024-12-09 23:53:57.965615
PAT000055,MRN1000055,William,Hernandez,1998-11-12,Female,357-71-9034,555-156-5596,patient55@yahoo.com,6203 Maple Dr,San Antonio,IL,40103,David Thompson,555-594-3768,INS000945,,B+,True,2023-09-18 23:53:57.965615
PAT000056,MRN1000056,James,Lee,1984-06-08,Female,893-25-9773,555-929-8635,patient56@gmail.com,1485 Main St,Austin,IL,42365,James Lee,555-790-9763,INS000098,INS000561,AB+,False,2023-03-09 23:53:57.965615
PAT000057,MRN1000057,Charles,Johnson,1951-03-14,Male,302-72-6551,555-557-6291,patient57@gmail.com,2668 Valley Blvd,San Diego,AZ,89751,Christopher Smith,555-929-8731,INS000884,,AB+,True,2023-07-19 23:53:57.965615
PAT000058,MRN1000058,Nancy,Hernandez,1984-10-21,Male,957-39-1660,555-820-5251,patient58@email.com,8026 Lake Dr,Los Angeles,CA,23964,Jessica Taylor,555-830-6885,INS000224,,O-,True,2023-03-30 23:53:57.965615
PAT000059,MRN1000059,John,Garcia,1947-05-16,Female,558-63-2737,555-172-8293,patient59@hotmail.com,2044 Oak Ave,Phoenix,NY,39983,Sarah Miller,555-980-7641,INS000584,,A+,True,2019-08-28 23:53:57.965615
PAT000060,MRN1000060,Charles,Rodriguez,1983-10-13,Female,107-33-5698,555-530-9133,patient60@email.com,5354 Main St,San Diego,CA,61535,Richard Jackson,555-774-9059,INS000113,INS000935,AB+,False,2025-06-22 23:53:57.965615
PAT000061,MRN1000061,Lisa,Davis,1967-05-23,Male,660-11-9995,555-421-6142,patient61@hotmail.com,6784 Pine Rd,Austin,TX,90592,Jennifer Jones,555-687-3042,INS000131,,O+,True,2021-02-22 23:53:57.965615
PAT000062,MRN1000062,Richard,Taylor,1997-08-23,Female,475-55-8627,555-307-9598,patient62@yahoo.com,9677 Oak Ave,San Diego,FL,47870,Michael Miller,555-775-4409,INS000193,,O-,True,2024-04-10 23:53:57.965615
PAT000063,MRN1000063,Charles,Davis,1960-08-11,Female,987-74-1515,555-179-9923,patient63@outlook.com,7762 Valley Blvd,Houston,AZ,21660,Daniel White,555-149-3269,INS000504,,A-,True,2020-09-28 23:53:57.965615
PAT000064,MRN1000064,Michael,Moore,1940-04-28,Male,115-31-5208,555-653-1651,patient64@hotmail.com,2172 Park Ave,Phoenix,CA,34356,Thomas Hernandez,555-524-6336,INS000473,INS000488,A-,True,2019-02-07 23:53:57.965615
PAT000065,MRN1000065,Charles,White,1956-02-10,Male,785-47-4181,555-963-8412,patient65@email.com,5666 Oak Ave,Los Angeles,NY,92585,Elizabeth Smith,555-487-5487,INS000260,INS000421,A+,True,2019-12-28 23:53:57.965615
PAT000066,MRN1000066,David,Smith,1987-06-07,Female,917-27-4494,555-866-4442,patient66@yahoo.com,7504 Maple Dr,Dallas,AZ,63021,Linda Miller,555-752-8476,INS000373,INS000210,A-,True,2019-03-03 23:53:57.965615
PAT000067,MRN1000067,Joseph,Lopez,1954-12-13,Male,997-60-4051,555-573-9424,patient67@yahoo.com,2749 Hill Rd,Philadelphia,FL,49381,Susan Jackson,555-828-8739,INS000613,,O-,True,2022-05-03 23:53:57.965615
PAT000068,MRN1000068,Sarah,Moore,1979-08-14,Male,266-25-7401,555-167-6779,patient68@yahoo.com,1927 Park Ave,Philadelphia,NY,19280,Charles Martin,555-198-2356,INS000661,,O-,False,2020-05-21 23:53:57.965615
PAT000069,MRN1000069,Jessica,White,1936-10-20,Male,699-14-7298,555-697-2061,patient69@outlook.com,2414 Valley Blvd,Austin,PA,10564,David Jones,555-449-9481,INS000603,,A+,True,2024-01-05 23:53:57.965615
PAT000070,MRN1000070,Barbara,Garcia,1989-02-02,Male,716-95-7265,555-428-9095,patient70@outlook.com,1466 Main St,Philadelphia,IL,60503,Sarah Hernandez,555-673-3128,INS000534,INS000799,B-,True,2022-10-24 23:53:57.965615
PAT000071,MRN1000071,Jennifer,Wilson,2006-02-12,Female,664-55-8469,555-716-1951,patient71@email.com,8348 Lake Dr,New York,FL,12217,Nancy Johnson,555-846-2060,INS000989,,B-,True,2021-01-13 23:53:57.965615
PAT000072,MRN1000072,Mary,Martin,1956-06-10,Female,365-60-8735,555-671-5956,patient72@outlook.com,3845 Valley Blvd,Dallas,PA,39379,Lisa Garcia,555-955-9596,INS000305,,B+,True,2020-09-25 23:53:57.965615
PAT000073,MRN1000073,Jessica,Garcia,1971-02-12,Male,120-59-8249,555-478-9354,patient73@gmail.com,2649 Pine Rd,Houston,NY,31997,Linda Williams,555-986-8679,INS000983,,AB-,True,2023-12-04 23:53:57.965615
PAT000074,MRN1000074,James,Thompson,1956-06-17,Female,798-97-6841,555-723-7399,patient74@email.com,1704 Valley Blvd,San Diego,NY,65918,Robert Thompson,555-138-9548,INS000689,,O-,True,2023-08-18 23:53:57.965615
PAT000075,MRN1000075,Robert,Jackson,1936-07-12,Female,167-65-2939,555-271-7635,patient75@yahoo.com,9110 Maple Dr,Phoenix,PA,69103,Richard Hernandez,555-909-5548,INS000105,,A+,True,2019-09-15 23:53:57.965615
PAT000076,MRN1000076,James,Martin,2004-01-11,Female,351-83-6974,555-946-4442,patient76@email.com,6605 Valley Blvd,Philadelphia,IL,55952,Michael Garcia,555-174-1033,INS000717,INS000820,AB+,True,2025-04-04 23:53:57.965615
PAT000077,MRN1000077,William,Johnson,1970-07-10,Male,813-28-2465,555-617-5318,patient77@email.com,1337 Elm St,San Antonio,CA,40637,Joseph Davis,555-599-2979,INS000755,,AB+,True,2024-07-25 23:53:57.965615
PAT000078,MRN1000078,Jennifer,Johnson,1963-08-16,Male,429-17-2891,555-663-9384,patient78@outlook.com,7352 Maple Dr,New York,TX,18567,David White,555-218-7824,INS000990,INS000755,B-,True,2019-04-13 23:53:57.965615
PAT000079,MRN1000079,Susan,Anderson,1971-12-24,Other,958-62-5885,555-553-7734,patient79@outlook.com,7644 Park Ave,Los Angeles,CA,94659,Nancy White,555-222-2246,INS000213,INS000045,A+,True,2019-04-10 23:53:57.965615
PAT000080,MRN1000080,Jennifer,Gonzalez,1984-09-20,Female,943-28-7363,555-310-9603,patient80@gmail.com,8030 Oak Ave,San Diego,NY,82944,David Brown,555-407-7575,INS000932,,O-,True,2025-07-22 23:53:57.965615
PAT000081,MRN1000081,Nancy,Moore,1945-09-09,Male,174-10-8869,555-123-3548,patient81@yahoo.com,540 Elm St,New York,PA,15960,Elizabeth Martin,555-363-5171,INS000936,,B-,True,2023-07-25 23:53:57.965615
PAT000082,MRN1000082,James,White,1940-03-20,Male,109-37-4237,555-117-8847,patient82@outlook.com,2343 Valley Blvd,Houston,NY,55571,Joseph Jones,555-490-2338,INS000255,,B+,True,2020-12-30 23:53:57.965615
PAT000083,MRN1000083,John,Wilson,1948-11-28,Male,472-15-9563,555-508-2298,patient83@gmail.com,8518 Lake Dr,Austin,FL,74082,William Martin,555-205-9271,INS000511,,AB+,True,2024-10-14 23:53:57.965615
PAT000084,MRN1000084,Karen,Garcia,1953-08-13,Female,885-43-3564,555-254-4896,patient84@hotmail.com,8084 Main St,San Antonio,TX,61980,Daniel Johnson,555-346-1988,INS000422,,O+,True,2019-04-23 23:53:57.965615
PAT000085,MRN1000085,Christopher,Anderson,1951-11-01,Female,388-37-2843,555-707-7539,patient85@hotmail.com,7342 Cedar Ln,Los Angeles,CA,41645,Michael Jones,555-876-8495,INS000958,INS000671,O+,True,2024-10-23 23:53:57.965615
PAT000086,MRN1000086,Jessica,Wilson,1945-12-20,Female,734-78-4639,555-797-2782,patient86@email.com,5773 Valley Blvd,New York,FL,21480,Robert Davis,555-471-5971,INS000513,INS000941,O-,True,2024-05-19 23:53:57.965615
PAT000087,MRN1000087,Patricia,Davis,2007-09-26,Male,691-27-5727,555-284-2876,patient87@hotmail.com,1426 Elm St,Los Angeles,CA,99842,William Thomas,555-276-5947,INS000457,,AB+,True,2021-02-02 23:53:57.965615
PAT000088,MRN1000088,Robert,Davis,1956-12-13,Female,654-47-9247,555-746-1456,patient88@outlook.com,3319 Main St,San Diego,TX,14745,Jessica Williams,555-994-9019,INS000010,INS000417,A+,True,2022-02-26 23:53:57.965615
PAT000089,MRN1000089,Lisa,Garcia,1992-06-22,Female,167-38-1386,555-747-6467,patient89@email.com,4266 Cedar Ln,Philadelphia,IL,20644,Elizabeth Wilson,555-317-9457,INS000343,,B-,True,2019-04-27 23:53:57.965615
PAT000090,MRN1000090,Nancy,Moore,1992-07-10,Male,110-48-2755,555-855-2445,patient90@yahoo.com,5306 Main St,Austin,NY,13507,Karen Hernandez,555-659-6512,INS000939,,A+,True,2023-04-29 23:53:57.965615
PAT000091,MRN1000091,John,Miller,1962-09-10,Female,856-64-2222,555-660-9959,patient91@gmail.com,269 Pine Rd,New York,IL,79968,Mary Jackson,555-827-4026,INS000711,,AB+,True,2019-09-06 23:53:57.965615
PAT000092,MRN1000092,Robert,Taylor,1959-12-02,Other,933-11-6183,555-202-3534,patient92@email.com,196 Pine Rd,New York,TX,88978,Linda White,555-346-9143,INS000518,,B-,False,2021-12-22 23:53:57.965615
PAT000093,MRN1000093,Elizabeth,Martin,1939-07-23,Male,978-39-1767,555-680-9847,patient93@hotmail.com,6281 Hill Rd,Los Angeles,FL,63221,Barbara Hernandez,555-838-8911,INS000798,,A-,True,2022-07-05 23:53:57.965615
PAT000094,MRN1000094,John,Gonzalez,1983-02-05,Female,250-22-7034,555-635-7340,patient94@outlook.com,4098 Hill Rd,San Diego,IL,94411,Barbara Lopez,555-399-9119,INS000012,,O-,True,2020-11-10 23:53:57.965615
PAT000095,MRN1000095,Michael,Thompson,1953-01-01,Male,172-58-8803,555-967-2610,patient95@hotmail.com,8199 Hill Rd,New York,TX,53553,Daniel Anderson,555-569-1077,INS000502,,O-,True,2025-01-22 23:53:57.965615
PAT000096,MRN1000096,Charles,Miller,1962-05-19,Female,836-56-7359,555-623-3192,patient96@email.com,660 Maple Dr,San Antonio,AZ,48708,Mary Jones,555-157-8680,INS000593,,B+,True,2022-10-25 23:53:57.965615
PAT000097,MRN1000097,Linda,Miller,1967-04-19,Female,815-47-7623,555-935-1435,patient97@gmail.com,5173 Elm St,San Diego,FL,63346,Mary Johnson,555-673-2982,INS000068,INS000822,AB+,False,2024-01-06 23:53:57.965615
PAT000098,MRN1000098,Daniel,Thomas,1939-05-27,Female,830-41-4786,555-764-9002,patient98@gmail.com,1005 Pine Rd,Austin,NY,22402,Susan Brown,555-747-3408,INS000777,,O+,True,2025-02-04 23:53:57.965615
PAT000099,MRN1000099,Susan,Wilson,1983-11-14,Female,783-88-6406,555-107-7582,patient99@yahoo.com,9839 Elm St,Phoenix,NY,31724,Jessica Rodriguez,555-448-4969,INS000046,,B+,True,2025-01-14 23:53:57.965615
PAT000100,MRN1000100,Karen,Harris,1979-05-11,Male,338-49-2486,555-497-1600,patient100@yahoo.com,8341 Park Ave,Austin,PA,52220,John Miller,555-276-6477,INS000644,INS000842,AB+,True,2021-04-25 23:53:57.965615
PAT000101,MRN1000101,Richard,Williams,1940-05-17,Female,195-10-6338,555-994-2940,patient101@hotmail.com,7515 Park Ave,New York,NY,39603,Susan Martinez,555-197-3569,INS000822,,O-,True,2023-12-12 23:53:57.965615
PAT000102,MRN1000102,Joseph,Taylor,1976-08-08,Female,117-25-5524,555-148-8449,patient102@email.com,873 Maple Dr,San Diego,AZ,61926,William Lopez,555-188-1504,INS000772,,A+,True,2024-01-20 23:53:57.965615
PAT000103,MRN1000103,Sarah,Hernandez,1998-01-07,Male,610-63-5252,555-700-3161,patient103@hotmail.com,878 Cedar Ln,Dallas,IL,14908,Charles Rodriguez,555-663-3677,INS000415,INS000643,AB+,True,2025-08-31 23:53:57.965615
PAT000104,MRN1000104,Charles,Lee,1944-08-20,Female,887-29-9037,555-324-8881,patient104@gmail.com,239 Valley Blvd,San Antonio,CA,60921,Jessica Gonzalez,555-873-3719,INS000866,,A-,True,2021-08-26 23:53:57.965615
PAT000105,MRN1000105,Christopher,Brown,1986-10-13,Female,617-84-7954,555-898-3404,patient105@email.com,3470 Cedar Ln,Austin,AZ,47830,Patricia Garcia,555-515-8914,INS000657,INS000760,A-,True,2022-05-24 23:53:57.965615
PAT000106,MRN1000106,Joseph,Lee,1939-04-03,Male,976-25-6243,555-703-3358,patient106@yahoo.com,6786 Lake Dr,Chicago,FL,12794,Patricia Moore,555-685-1989,INS000373,INS000127,B-,True,2019-05-03 23:53:57.965615
PAT000107,MRN1000107,Richard,Moore,1978-07-28,Female,583-41-6520,555-496-4784,patient107@hotmail.com,5801 Cedar Ln,Dallas,CA,18052,Charles Davis,555-729-7702,INS000122,,A+,True,2025-01-17 23:53:57.965615
PAT000108,MRN1000108,Mary,Gonzalez,1959-10-28,Female,428-24-3241,555-329-5503,patient108@gmail.com,1227 Hill Rd,Philadelphia,CA,46817,Nancy Martin,555-781-7649,INS000908,,A-,True,2025-07-12 23:53:57.965615
PAT000109,MRN1000109,Charles,Garcia,1940-11-23,Male,659-19-8357,555-823-9378,patient109@gmail.com,2495 Maple Dr,Philadelphia,IL,67778,John Lee,555-521-1319,INS000031,,O+,True,2025-12-31 23:53:57.965615
PAT000110,MRN1000110,Thomas,Gonzalez,1967-05-10,Other,604-52-2613,555-778-8154,patient110@gmail.com,7046 Hill Rd,Los Angeles,AZ,48088,Robert Thomas,555-251-9866,INS000839,INS000919,AB+,True,2022-12-12 23:53:57.965615
PAT000111,MRN1000111,Jessica,Anderson,1995-11-16,Male,237-39-7096,555-777-5977,patient111@gmail.com,8373 Oak Ave,San Antonio,AZ,78295,Nancy Harris,555-540-6907,INS000438,INS000144,B-,True,2023-03-23 23:53:57.965615
PAT000112,MRN1000112,Michael,Brown,1964-01-05,Male,883-82-9155,555-722-8440,patient112@hotmail.com,831 Oak Ave,Chicago,PA,62429,James Wilson,555-836-4330,INS000274,,B+,True,2023-12-01 23:53:57.965615
PAT000113,MRN1000113,John,Davis,1996-12-30,Male,618-22-6592,555-147-4974,patient113@hotmail.com,4090 Hill Rd,Los Angeles,IL,70801,David Smith,555-662-4522,INS000042,,B-,True,2021-08-16 23:53:57.965615
PAT000114,MRN1000114,Jennifer,Wilson,1967-05-16,Female,470-43-3535,555-830-6180,patient114@outlook.com,2265 Lake Dr,Philadelphia,TX,88570,Joseph Harris,555-948-6914,INS000508,,A-,True,2023-03-24 23:53:57.965615
PAT000115,MRN1000115,Susan,Moore,1984-03-15,Female,485-91-1747,555-145-7893,patient115@gmail.com,2926 Oak Ave,Austin,FL,49362,Richard Brown,555-570-2035,INS000037,,AB+,True,2023-08-16 23:53:57.965615
