provider_id,npi,first_name,last_name,specialty,sub_specialty,degree,license_number,license_state,facility_id,phone,email,is_accepting_patients,is_active,hire_date,created_date
PRV000044,1000000044,Laura,Scott,Endocrinology,Pain Management,DO,LIC202004,NY,FAC000289,555-524-2796,dr.clark97@wrshealthproviders.com,True,True,2015-08-14,2021-05-18 23:53:57.981590
PRV000045,1000000045,Sarah,Young,Cardiology,Geriatrics,DO,LIC608049,AZ,FAC000406,555-899-9061,dr.walker91@wrshealthproviders.com,True,True,2018-11-20,2021-06-08 23:53:57.982591
PRV000046,1000000046,Richard,Green,Ophthalmology,Geriatrics,DO,LIC140245,IL,FAC000436,555-445-5224,dr.martinez53@wrshealthproviders.com,True,True,2014-03-15,2022-02-23 23:53:57.982591
PRV000047,1000000047,William,Nelson,Anesthesiology,Geriatrics,MD,LIC649430,TX,FAC000138,555-208-9490,dr.baker48@wrshealthproviders.com,True,True,2023-07-24,2022-09-16 23:53:57.982591
PRV000048,1000000048,John,Allen,Radiology,Critical Care,MD,LIC864988,PA,FAC000324,555-263-9169,dr.anderson9@wrshealthproviders.com,True,True,2024-05-22,2024-04-24 23:53:57.982591
PRV000049,1000000049,Nancy,Wright,Endocrinology,,MD,LIC331663,FL,FAC000455,555-895-9175,dr.martinez48@wrshealthproviders.com,False,True,2014-01-31,2021-04-13 23:53:57.982591
PRV000050,1000000050,Michael,Robinson,Cardiology,Sports Medicine,MD,LIC347162,NY,FAC000433,555-211-2897,dr.walker18@wrshealthproviders.com,False,True,2009-06-21,2021-06-08 23:53:57.982591
PRV000051,1000000051,James,Young,Psychiatry,,MD,LIC466454,CA,FAC000062,555-407-2591,dr.baker96@wrshealthproviders.com,True,True,2012-03-10,2025-03-05 23:53:57.982591
PRV000052,1000000052,Thomas,King,Family Medicine,Pain Management,NP,LIC167760,IL,FAC000086,555-491-1909,dr.anderson28@wrshealthproviders.com,False,True,2020-02-11,2022-04-30 23:53:57.982591
PRV000053,1000000053,Michael,Hall,Obstetrics and Gynecology,,MD,LIC920351,NY,FAC000990,555-477-1345,dr.young99@wrshealthproviders.com,True,True,2017-04-09,2022-11-28 23:53:57.982591
PRV000054,1000000054,Karen,Baker,Radiology,Critical Care,MD,LIC900249,NY,FAC000198,555-177-9179,dr.robinson37@wrshealthproviders.com,True,True,2020-12-10,2023-10-01 23:53:57.982591
PRV000055,1000000055,John,Wright,Internal Medicine,,MD,LIC910331,PA,FAC000544,555-787-6411,dr.baker62@wrshealthproviders.com,False,True,2015-02-10,2024-10-29 23:53:57.982591
PRV000056,1000000056,Emily,Lewis,Obstetrics and Gynecology,Interventional,DO,LIC411203,FL,FAC000041,555-462-9029,dr.king97@wrshealthproviders.com,True,True,2017-05-20,2024-03-06 23:53:57.982591
PRV000057,1000000057,Emily,Wright,Emergency Medicine,,MD,LIC774048,NY,FAC000714,555-143-3791,dr.scott90@wrshealthproviders.com,True,True,2015-08-14,2023-01-10 23:53:57.982591
PRV000058,1000000058,Jennifer,Baker,Anesthesiology,Interventional,MD,LIC800325,TX,FAC000482,555-511-9059,dr.green28@wrshealthproviders.com,True,True,2016-10-27,2021-09-24 23:53:57.982591
PRV000059,1000000059,William,Young,Obstetrics and Gynecology,,MD,LIC292914,TX,FAC000617,555-855-9985,dr.nelson12@wrshealthproviders.com,False,True,2022-01-05,2021-04-07 23:53:57.982591
PRV000060,1000000060,John,Young,Cardiology,,MD,LIC373295,NY,FAC000340,555-490-6342,dr.hall57@wrshealthproviders.com,False,True,2009-04-28,2024-09-16 23:53:57.982591
PRV000061,1000000061,David,Clark,Anesthesiology,Sports Medicine,PA,LIC385366,TX,FAC000757,555-147-5303,dr.nelson2@wrshealthproviders.com,True,True,2009-03-08,2024-04-28 23:53:57.982591
PRV000062,1000000062,Robert,King,Neurology,Sports Medicine,PA,LIC778327,NY,FAC000082,555-377-5746,dr.anderson89@wrshealthproviders.com,True,True,2024-06-26,2022-10-08 23:53:57.982591
PRV000063,1000000063,Michael,Clark,Radiology,,MD,LIC766948,TX,FAC000092,555-193-5898,dr.king32@wrshealthproviders.com,True,True,2012-11-06,2025-02-06 23:53:57.982591
PRV000064,1000000064,Nancy,Green,Internal Medicine,Sports Medicine,MD,LIC921483,NY,FAC000520,555-385-3251,dr.lewis70@wrshealthproviders.com,True,True,2019-06-26,2022-02-05 23:53:57.982591
PRV000065,1000000065,Sarah,Thompson,Anesthesiology,,DO,LIC742330,CA,FAC000115,555-739-5269,dr.martinez23@wrshealthproviders.com,True,True,2022-08-29,2021-02-04 23:53:57.982591
PRV000066,1000000066,John,Robinson,Orthopedics,Interventional,MD,LIC761307,PA,FAC000175,555-884-3374,dr.clark84@wrshealthproviders.com,True,True,2009-09-09,2023-11-08 23:53:57.982591
PRV000067,1000000067,James,Wright,Oncology,Interventional,MD,LIC970110,NY,FAC000684,555-866-7625,dr.hall85@wrshealthproviders.com,True,True,2004-11-01,2024-12-01 23:53:57.982591
PRV000068,1000000068,Sarah,Robinson,Psychiatry,,MD,LIC844691,NY,FAC000914,555-605-1307,dr.scott43@wrshealthproviders.com,True,True,2004-12-20,2022-11-27 23:53:57.982591
PRV000069,1000000069,Jennifer,Robinson,Orthopedics,Pain Management,PA,LIC526740,NY,FAC000110,555-642-9827,dr.baker89@wrshealthproviders.com,True,True,2007-12-16,2022-10-10 23:53:57.982591
PRV000070,1000000070,Laura,Robinson,Orthopedics,,MD,LIC520874,PA,FAC000812,555-162-6677,dr.wright25@wrshealthproviders.com,True,True,2008-03-13,2021-09-19 23:53:57.982591
PRV000071,1000000071,Jennifer,King,Emergency Medicine,Geriatrics,MD,LIC836465,CA,FAC000834,555-968-1714,dr.nelson98@wrshealthproviders.com,False,True,2020-09-20,2022-06-21 23:53:57.982591
PRV000072,1000000072,Nancy,Green,Family Medicine,Pain Management,DO,LIC359821,TX,FAC000394,555-166-6380,dr.scott35@wrshealthproviders.com,True,True,2024-10-15,2021-06-11 23:53:57.982591
PRV000073,1000000073,Lisa,Nelson,Endocrinology,Critical Care,MD,LIC803797,CA,FAC000362,555-938-3029,dr.young43@wrshealthproviders.com,True,True,2010-06-08,2023-01-04 23:53:57.982591
PRV000074,1000000074,David,Hall,Orthopedics,Pain Management,MD,LIC736976,AZ,FAC000182,555-332-8180,dr.robinson21@wrshealthproviders.com,True,True,2024-12-05,2023-04-23 23:53:57.982591
PRV000075,1000000075,Emily,Hall,Neurology,Pain Management,PA,LIC136928,CA,FAC000698,555-785-9385,dr.king50@wrshealthproviders.com,True,True,2023-05-11,2022-06-05 23:53:57.982591
PRV000076,1000000076,Jennifer,Wright,Endocrinology,Critical Care,MD,LIC907837,FL,FAC000674,555-773-7800,dr.clark22@wrshealthproviders.com,True,True,2008-07-11,2022-05-15 23:53:57.982591
PRV000077,1000000077,Sarah,Martinez,Anesthesiology,Geriatrics,DO,LIC142600,NY,FAC000382,555-889-3896,dr.clark2@wrshealthproviders.com,True,True,2016-05-19,2024-07-13 23:53:57.982591
PRV000078,1000000078,Richard,King,Neurology,Sports Medicine,MD,LIC865073,PA,FAC000062,555-520-9353,dr.walker36@wrshealthproviders.com,True,True,2023-04-02,2022-08-03 23:53:57.982591
PRV000079,1000000079,Michael,Baker,Cardiology,,MD,LIC136559,AZ,FAC000571,555-358-8278,dr.green33@wrshealthproviders.com,True,True,2010-10-16,2024-03-23 23:53:57.982591
PRV000080,1000000080,James,Green,Dermatology,Sports Medicine,MD,LIC372472,PA,FAC000692,555-144-5805,dr.allen17@wrshealthproviders.com,True,True,2005-08-17,2024-01-27 23:53:57.982591
PRV000081,1000000081,Michelle,Young,Ophthalmology,Pain Management,MD,LIC474305,FL,FAC000121,555-246-5174,dr.scott16@wrshealthproviders.com,True,True,2013-04-10,2022-08-17 23:53:57.982591
PRV000082,1000000082,David,Green,Cardiology,Sports Medicine,MD,LIC322003,PA,FAC000377,555-164-7733,dr.walker67@wrshealthproviders.com,False,True,2020-01-31,2025-07-18 23:53:57.982591
PRV000083,1000000083,Karen,Nelson,Psychiatry,Pain Management,NP,LIC720440,NY,FAC000580,555-843-9272,dr.thompson58@wrshealthproviders.com,True,True,2021-01-15,2025-09-29 23:53:57.982591
PRV000084,1000000084,Sarah,Thompson,Radiology,,MD,LIC844546,TX,FAC000338,555-219-5830,dr.martinez72@wrshealthproviders.com,True,True,2023-01-05,2022-08-16 23:53:57.982591
PRV000085,1000000085,Thomas,Wright,Radiology,Sports Medicine,MD,LIC675430,CA,FAC000617,555-253-1091,dr.scott6@wrshealthproviders.com,True,True,2017-08-19,2025-04-02 23:53:57.982591
PRV000086,1000000086,Richard,Thompson,Endocrinology,Interventional,MD,LIC119061,NY,FAC000024,555-555-7261,dr.green73@wrshealthproviders.com,True,True,2021-06-29,2021-09-19 23:53:57.982591
PRV000087,1000000087,Richard,Green,Neurology,Interventional,DO,LIC386497,CA,FAC000316,555-775-9830,dr.walker78@wrshealthproviders.com,True,True,2012-04-15,2021-09-14 23:53:57.982591
PRV000088,1000000088,Thomas,Anderson,Oncology,Pain Management,MD,LIC835550,IL,FAC000247,555-180-8194,dr.allen44@wrshealthproviders.com,True,True,2023-12-31,2021-11-09 23:53:57.982591
PRV000089,1000000089,James,Walker,Anesthesiology,,MD,LIC859455,TX,FAC000112,555-769-1173,dr.martinez5@wrshealthproviders.com,True,True,2023-09-18,2024-10-02 23:53:57.982591
PRV000090,1000000090,Jennifer,Walker,Cardiology,Interventional,MD,LIC676860,AZ,FAC000347,555-145-8031,dr.scott85@wrshealthproviders.com,True,True,2006-03-23,2024-09-11 23:53:57.982591
PRV000091,1000000091,Sarah,Martinez,Family Medicine,,MD,LIC897551,TX,FAC000963,555-647-2274,dr.walker67@wrshealthproviders.com,True,True,2014-01-02,2024-01-10 23:53:57.982591
PRV000092,1000000092,Sarah,Hall,Oncology,Geriatrics,MD,LIC670145,IL,FAC000023,555-371-4603,dr.clark79@wrshealthproviders.com,True,True,2018-06-04,2024-01-03 23:53:57.982591
PRV000093,1000000093,Michael,Allen,Psychiatry,Critical Care,NP,LIC937846,FL,FAC000450,555-536-6897,dr.clark10@wrshealthproviders.com,True,True,2023-06-27,2021-04-12 23:53:57.982591
PRV000094,1000000094,Michelle,Green,Emergency Medicine,,MD,LIC872426,TX,FAC000889,555-690-8739,dr.scott19@wrshealthproviders.com,True,True,2006-12-09,2023-02-06 23:53:57.982591
PRV000095,1000000095,Michael,King,Obstetrics and Gynecology,Geriatrics,MD,LIC537380,IL,FAC000859,555-257-4696,dr.scott2@wrshealthproviders.com,True,True,2008-06-26,2023-03-20 23:53:57.982591
PRV000096,1000000096,James,Thompson,Internal Medicine,Critical Care,MD,LIC619899,NY,FAC000952,555-710-8659,dr.young89@wrshealthproviders.com,True,True,2016-06-13,2024-02-02 23:53:57.982591
PRV000097,1000000097,James,Lewis,Emergency Medicine,Interventional,NP,LIC762664,NY,FAC000871,555-500-7735,dr.lewis63@wrshealthproviders.com,True,True,2005-05-23,2023-06-28 23:53:57.982591
PRV000098,1000000098,David,Nelson,Radiology,Interventional,MD,LIC273766,NY,FAC000073,555-854-2716,dr.wright90@wrshealthproviders.com,False,True,2016-07-30,2021-04-20 23:53:57.982591
PRV000099,1000000099,James,King,Neurology,Sports Medicine,MD,LIC983078,AZ,FAC000795,555-799-1776,dr.nelson14@wrshealthproviders.com,True,True,2009-02-02,2025-03-17 23:53:57.982591
PRV000100,1000000100,Richard,Green,Neurology,Interventional,MD,LIC431536,NY,FAC000510,555-420-5121,dr.thompson32@wrshealthproviders.com,False,True,2009-06-10,2023-02-25 23:53:57.982591
PRV000101,1000000101,John,Thompson,Orthopedics,Pain Management,MD,LIC209565,PA,FAC000263,555-224-8520,dr.green84@wrshealthproviders.com,True,True,2019-01-15,2022-05-26 23:53:57.982591
PRV000102,1000000102,Laura,Hall,Endocrinology,Geriatrics,MD,LIC416241,FL,FAC000073,555-902-2368,dr.walker82@wrshealthproviders.com,True,True,2020-04-26,2024-10-20 23:53:57.982591
PRV000103,1000000103,Lisa,Young,Radiology,Critical Care,MD,LIC110743,FL,FAC000648,555-430-1618,dr.anderson47@wrshealthproviders.com,True,False,2024-03-14,2024-07-27 23:53:57.982591
PRV000104,1000000104,Laura,Wright,Cardiology,Sports Medicine,MD,LIC820817,PA,FAC000444,555-129-9098,dr.scott77@wrshealthproviders.com,False,True,2012-09-17,2023-10-19 23:53:57.982591
PRV000105,1000000105,Jennifer,Scott,Dermatology,Sports Medicine,MD,LIC703301,PA,FAC000701,555-542-1227,dr.king84@wrshealthproviders.com,True,True,2016-07-28,2022-05-15 23:53:57.982591
PRV000106,1000000106,Lisa,Walker,Family Medicine,Pain Management,MD,LIC494767,IL,FAC000282,555-182-8490,dr.green23@wrshealthproviders.com,True,True,2024-07-02,2024-10-31 23:53:57.982591
PRV000107,1000000107,Nancy,Hall,Ophthalmology,,MD,LIC214808,IL,FAC000493,555-456-2816,dr.king81@wrshealthproviders.com,True,True,2007-01-15,2022-05-30 23:53:57.982591
PRV000108,1000000108,Michael,Walker,Anesthesiology,Interventional,MD,LIC874625,FL,FAC000973,555-827-9796,dr.thompson88@wrshealthproviders.com,True,True,2018-05-22,2023-02-24 23:53:57.982591
PRV000109,1000000109,Karen,Clark,Radiology,,DO,LIC558783,CA,FAC000824,555-106-1089,dr.scott79@wrshealthproviders.com,True,True,2021-09-19,2021-06-19 23:53:57.982591
PRV000110,1000000110,Karen,Hall,Anesthesiology,Critical Care,PA,LIC153403,FL,FAC000496,555-559-8753,dr.young10@wrshealthproviders.com,False,True,2012-07-27,2022-08-17 23:53:57.982591
PRV000111,1000000111,Jennifer,Young,Psychiatry,Critical Care,PA,LIC692056,TX,FAC000878,555-666-5102,dr.clark28@wrshealthproviders.com,False,True,2005-10-25,2025-06-30 23:53:57.982591
PRV000112,1000000112,William,Wright,Dermatology,Critical Care,NP,LIC707701,PA,FAC000785,555-283-9305,dr.king22@wrshealthproviders.com,True,True,2010-03-02,2021-01-24 23:53:57.982591
PRV000113,1000000113,James,Clark,Radiology,Interventional,DO,LIC626345,NY,FAC000994,555-390-7024,dr.anderson87@wrshealthproviders.com,False,True,2019-10-09,2023-08-09 23:53:57.982591
PRV000114,1000000114,Thomas,Allen,Ophthalmology,Interventional,DO,LIC569570,PA,FAC000740,555-471-8480,dr.scott98@wrshealthproviders.com,True,True,2022-11-19,2025-08-01 23:53:57.982591
PRV000115,1000000115,William,King,Orthopedics,Pain Management,MD,LIC320994,FL,FAC000678,555-547-2681,dr.anderson68@wrshealthproviders.com,True,True,2016-02-15,2022-04-29 23:53:57.982591
PRV000116,1000000116,Laura,Baker,General Surgery,Geriatrics,DO,LIC177087,TX,FAC000397,555-642-8010,dr.martinez12@wrshealthproviders.com,True,True,2014-01-14,2022-09-05 23:53:57.982591
PRV000117,1000000117,Nancy,Thompson,Ophthalmology,,MD,LIC621998,AZ,FAC000900,555-594-8900,dr.anderson59@wrshealthproviders.com,True,True,2021-11-24,2025-11-22 23:53:57.982591
PRV000118,1000000118,Robert,King,Dermatology,Geriatrics,MD,LIC964692,FL,FAC000194,555-918-1749,dr.robinson37@wrshealthproviders.com,False,True,2020-04-14,2024-01-29 23:53:57.982591
PRV000119,1000000119,Laura,Martinez,Orthopedics,Interventional,DO,LIC114587,CA,FAC000839,555-543-8010,dr.lewis27@wrshealthproviders.com,True,True,2022-02-11,2024-03-29 23:53:57.982591
PRV000120,1000000120,Jennifer,King,Emergency Medicine,,MD,LIC718645,FL,FAC000789,555-599-3150,dr.scott4@wrshealthproviders.com,True,True,2005-12-14,2022-12-06 23:53:57.982591
PRV000121,1000000121,Lisa,King,Ophthalmology,Sports Medicine,MD,LIC625425,IL,FAC000854,555-804-2512,dr.hall53@wrshealthproviders.com,True,True,2018-04-20,2023-04-22 23:53:57.982591
PRV000122,1000000122,John,Nelson,Emergency Medicine,Critical Care,PA,LIC221326,NY,FAC000835,555-718-3610,dr.anderson65@wrshealthproviders.com,True,True,2016-06-23,2023-12-29 23:53:57.982591
PRV000123,1000000123,William,Clark,Pediatrics,Pain Management,MD,LIC517333,NY,FAC000104,555-917-3897,dr.king72@wrshealthproviders.com,True,True,2006-04-12,2024-11-16 23:53:57.982591
PRV000124,1000000124,William,Scott,Dermatology,,MD,LIC526021,TX,FAC000641,555-666-4810,dr.young34@wrshealthproviders.com,False,True,2008-06-17,2025-12-09 23:53:57.982591
PRV000125,1000000125,Laura,Walker,Endocrinology,,PA,LIC659209,FL,FAC000041,555-406-2922,dr.allen27@wrshealthproviders.com,False,True,2019-05-23,2022-02-16 23:53:57.982591
PRV000126,1000000126,Laura,Anderson,Oncology,Pain Management,DO,LIC688199,IL,FAC000708,555-365-4363,dr.nelson18@wrshealthproviders.com,True,True,2018-09-30,2022-06-22 23:53:57.982591
PRV000127,1000000127,Laura,Walker,Emergency Medicine,Pain Management,MD,LIC207633,CA,FAC000986,555-110-3474,dr.robinson26@wrshealthproviders.com,True,True,2014-05-30,2025-03-15 23:53:57.982591
PRV000128,1000000128,Robert,Lewis,Neurology,,MD,LIC333704,IL,FAC000915,555-213-6937,dr.lewis56@wrshealthproviders.com,True,True,2022-06-14,2022-10-01 23:53:57.982591
PRV000129,1000000129,Richard,Allen,Cardiology,Sports Medicine,MD,LIC118683,FL,FAC000235,555-262-8413,dr.nelson64@wrshealthproviders.com,True,True,2024-03-10,2023-09-30 23:53:57.982591
PRV000130,1000000130,Thomas,Clark,Psychiatry,Interventional,NP,LIC340986,PA,FAC000796,555-280-6956,dr.green28@wrshealthproviders.com,True,True,2016-07-03,2025-07-23 23:53:57.982591
PRV000131,1000000131,Nancy,Baker,Radiology,Sports Medicine,MD,LIC999605,CA,FAC000843,555-737-8950,dr.hall10@wrshealthproviders.com,True,True,2023-12-18,2024-07-08 23:53:57.982591
PRV000132,1000000132,John,Martinez,Oncology,Sports Medicine,MD,LIC757149,IL,FAC000161,555-647-4638,dr.martinez88@wrshealthproviders.com,True,True,2007-04-24,2022-01-03 23:53:57.982591
PRV000133,1000000133,Laura,Scott,Endocrinology,Pain Management,MD,LIC672075,PA,FAC000718,555-300-7927,dr.thompson39@wrshealthproviders.com,True,True,2016-03-21,2022-10-05 23:53:57.982591
PRV000134,1000000134,Michelle,Robinson,Internal Medicine,Pain Management,MD,LIC408341,PA,FAC000254,555-948-8599,dr.hall66@wrshealthproviders.com,True,True,2023-09-02,2022-09-02 23:53:57.982591
PRV000135,1000000135,Emily,Scott,Dermatology,Critical Care,PA,LIC498173,FL,FAC000125,555-387-1891,dr.young90@wrshealthproviders.com,True,True,2015-05-26,2022-04-16 23:53:57.982591
PRV000136,1000000136,Sarah,Lewis,Orthopedics,Interventional,MD,LIC732016,NY,FAC000598,555-636-2675,dr.hall6@wrshealthproviders.com,True,True,2014-11-10,2021-10-16 23:53:57.982591
