Name,Email,Company,Job Title,Date Joined,Country,Salary (USD)
Reginald Evans,theresachen@mckay.org,Rowland and Sons,Counsellor,2021-08-26,Bosnia and Herzegovina,49934.49
Ashley Kim,lee96@yahoo.com,Johnson Ltd,Customer service manager,2022-07-12,United States of America,44290.92
Jeremiah Walker,sbryant@quinn.com,Long Group,Community development worker,2023-02-14,Azerbaijan,133127.99
Thomas Herman,prichardson@douglas.com,Simmons-Kim,Hotel manager,2022-08-04,French Guiana,83562.7
Jesus Smith,robert55@gmail.com,King-Sanders,Community arts worker,2023-10-05,Saint Pierre and Miquelon,128552.02
Angela Brown,lynchlaura@cobb-jarvis.net,Howard PLC,Senior tax professional/tax inspector,2022-06-13,Armenia,69039.37
Travis Gonzalez,brittany60@hotmail.com,Benitez-Mullen,Medical laboratory scientific officer,2020-05-22,Dominica,63443.6
Linda Knight,ryanwallace@yahoo.com,Bell-Chavez,Psychotherapist,2021-08-30,Romania,108401.52
Mary Vasquez,suzanne58@hotmail.com,Mullen and Sons,Immigration officer,2021-03-24,Burundi,59941.86
Barbara Roman,jasmineclark@bauer-sullivan.org,Martinez-Nelson,Charity officer,2022-04-28,Heard Island and McDonald Islands,73781.48
Jenna Weiss,zmoore@pierce-wood.info,Williams-Wong,Metallurgist,2024-12-23,United States of America,62224.7
Allison Hanson,jamie50@yahoo.com,Williams Group,Facilities manager,2021-11-08,New Caledonia,128661.61
Justin Ruiz,dnovak@yahoo.com,Mcgee Inc,Regulatory affairs officer,2023-09-15,Turkmenistan,62508.89
Erica Graham,loganfuentes@gmail.com,"Fields, Williams and Boyd",Astronomer,2024-08-05,Saint Vincent and the Grenadines,141384.29
William Harper,pamela14@hotmail.com,Gonzales-Allen,Commercial/residential surveyor,2020-10-03,Uzbekistan,118350.72
Kim Becker,wburns@gmail.com,"Cherry, Campbell and Lopez",Chartered public finance accountant,2022-12-31,Jamaica,53375.87
Mary Sanchez,lcisneros@grant.com,Warner Ltd,Electrical engineer,2021-05-05,Nepal,44885.68
Mary Lopez,otaylor@green-harris.com,Watkins-Matthews,Best boy,2021-07-06,Czech Republic,136844.51
David Young,lgarcia@yahoo.com,Knapp-Guzman,"Designer, blown glass/stained glass",2023-05-10,Fiji,90361.43
Nathan Stewart,martinhancock@yahoo.com,Stewart Ltd,Advice worker,2024-03-16,Uzbekistan,131536.78
Dr. Lori Wright,michaelwall@gmail.com,"Preston, Holden and Anderson","Psychologist, forensic",2022-09-21,Algeria,97756.05
Patrick Miller,jamesgordon@walker-mason.com,"Bean, Martin and Hahn",Contracting civil engineer,2020-10-19,Egypt,61883.63
Joshua Frazier,brenda58@gmail.com,"Perez, Wilson and Sandoval",Manufacturing engineer,2022-07-11,New Caledonia,78688.13
Charles Guzman,jeffery72@yahoo.com,"Nunez, Saunders and Smith",Occupational therapist,2022-09-11,France,117464.68
Melissa Cole,alexandercourtney@french.com,"Beck, Friedman and Copeland",Retail banker,2021-02-11,Turkey,115737.12
Peter Brown,antonioking@gmail.com,Powell PLC,"Surveyor, minerals",2022-08-24,Jordan,52640.68
Allison White,gardnercheryl@yahoo.com,"Johnson, Hill and Smith",Insurance account manager,2023-06-18,French Guiana,94153.86
Margaret Dunn,kathryn34@gmail.com,Washington-Singh,Theatre manager,2020-06-30,Netherlands Antilles,93735.22
William Wright,qvelasquez@gmail.com,Spence-Nelson,Agricultural consultant,2024-10-03,Suriname,71431.28
Brent Simpson,thill@hotmail.com,Swanson-Davis,English as a second language teacher,2024-06-18,Sudan,118181.1
Timothy Kennedy MD,htyler@yahoo.com,Andrade-Hoover,Public house manager,2020-10-28,Isle of Man,111396.97
John Schroeder,davidreed@hotmail.com,"Nolan, Bell and Marshall",Animal nutritionist,2023-06-03,Guernsey,70108.31
Madison Morales,xsmall@jackson-davis.org,Martinez-Torres,"Engineer, electrical",2023-08-09,Costa Rica,94748.99
Justin Jones,qhopkins@hotmail.com,Miller Ltd,Public librarian,2023-04-30,Timor-Leste,137919.34
Adam Rodriguez,sotokimberly@yahoo.com,Thomas PLC,Chief Marketing Officer,2024-11-04,Belgium,52139.6
Jose Harrington,sara97@larson-ellis.com,Clark Inc,"Designer, industrial/product",2024-09-07,Croatia,80327.11
Megan Smith,april08@medina.com,Graves-Simpson,Optometrist,2022-08-16,Eritrea,70877.29
Michele Brooks,dominguezdeborah@pope.biz,Garcia-Meyers,Interior and spatial designer,2023-11-09,Brunei Darussalam,108354.35
William Smith,whiteerika@yahoo.com,Murphy PLC,"Administrator, charities/voluntary organisations",2024-03-15,Montserrat,94276.17
Jack Garcia,holly19@hotmail.com,Wilson-Daniels,Ophthalmologist,2023-05-28,Congo,59755.29
Nathan Cherry,sarah24@hotmail.com,Reid-Coleman,Seismic interpreter,2020-06-20,Mozambique,124402.04
Calvin Martinez,briannavarro@graham.com,"Pearson, Evans and Jones","Therapist, nutritional",2021-04-27,United States Virgin Islands,122658.79
James Francis,newtonjacob@gmail.com,"Bryant, Hanna and Wu","Psychologist, sport and exercise",2022-05-06,Heard Island and McDonald Islands,67073.45
Amanda Johnson,thomaskimberly@gmail.com,Mcdonald PLC,Dramatherapist,2021-11-29,Yemen,126567.02
Benjamin Reeves,colemananthony@brown.com,Alvarez-Espinoza,Youth worker,2023-04-03,Aruba,98248.26
Joshua Ward,rojasscott@yahoo.com,King-Barr,"Scientist, research (maths)",2020-09-17,Albania,53950.09
